# source_id	required_mode	contexts	card_group	detail_page	label_key	detail_code	audience	what_is_checked	why_it_matters	pass_meaning	fail_meaning	not_run_meaning	stale_meaning	next_action_key	risk_level	approval_required	display_order
product.git.pr	contextual	product-improvement|external-integration	git_sync	#workflow	product.evidence.git_pr	product.git.pr.detail	all	Pull request existence and review target for the selected product revision.	Shows whether review and PR CI can start from the current branch.	PR evidence is current and ready.	PR evidence found a missing, stale, or blocked pull request.	PR evidence has not been recorded yet.	PR evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_pr	high	true	35
product.git.merge	contextual	product-improvement|external-integration	git_sync	#workflow	product.evidence.git_merge	product.git.merge.detail	all	Merge readiness and approval boundary for the selected product revision.	Shows whether merge is allowed or still blocked by checks and approval.	Merge evidence is current and ready.	Merge evidence found a blocker or missing approval.	Merge evidence has not been recorded yet.	Merge evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_merge	critical	true	36
product.ci.pr	contextual	product-improvement|external-integration	ci	#workflow	product.evidence.ci_pr	product.ci.pr.detail	all	Pull request CI workflow, run status, conclusion, and head match.	Shows whether PR checks belong to the selected product revision.	PR CI evidence is current and passed.	PR CI failed or does not match the selected product revision.	PR CI evidence has not been recorded yet.	PR CI evidence is older than the configured freshness window or product HEAD.	product.next.inspect_ci	critical	true	39
product.ci.main	contextual	product-improvement|external-integration	ci	#workflow	product.evidence.ci_main	product.ci.main.detail	all	Main branch CI workflow, run status, conclusion, and head match.	Shows whether the observed CI result belongs to the selected product revision.	Main CI evidence is current and passed.	Main CI failed or does not match the selected product revision.	Main CI evidence has not been recorded yet.	Main CI evidence is older than the configured freshness window or product HEAD.	product.next.inspect_ci	critical	true	40
product.ci.github_actions	contextual	product-improvement|external-integration	ci	#workflow	product.evidence.ci_github_actions	product.ci.github_actions.detail	all	GitHub Actions provider visibility and latest relevant workflow run.	Shows whether CI can be observed without treating missing provider data as success.	GitHub Actions evidence is current and observable.	GitHub Actions evidence is failed, unavailable, or mismatched.	GitHub Actions evidence has not been recorded yet.	GitHub Actions evidence is older than the configured freshness window or product HEAD.	product.next.inspect_ci_provider	critical	true	41
product.ci.verification_contract	required	all	ci	#workflow	product.evidence.verification_contract	product.ci.verification_contract.detail	all	Verification policy, task ownership, execution profiles, resource boundaries, and CI graph consistency.	Shows whether local and remote checks still cover every declared responsibility without unsafe duplication.	Verification contracts are current and passed.	The verification policy, ownership, or execution graph is invalid.	Verification contract evidence has not been recorded yet.	Verification contract evidence no longer matches the current revision, inputs, or policy.	product.next.inspect_local_tests	critical	false	42
product.ci.package_artifact	contextual	product-improvement|external-integration	ci	#workflow	product.evidence.package_artifact	product.ci.package_artifact.detail	all	Same-run package producer manifest and Node-version consumer results.	Shows whether every package consumer tested the identical revision-bound tarball without repacking.	The package artifact and every required consumer are current and passed.	The package manifest, tarball digest, producer, consumer, or run identity did not match.	Package artifact evidence has not been recorded yet.	Package artifact evidence belongs to another run, revision, input, policy, or toolchain.	product.next.inspect_ci	critical	true	43
product.ci.final_proof	contextual	product-improvement|external-integration	ci	#workflow	product.evidence.ci_final_proof	product.ci.final_proof.detail	all	Proof-only terminal result for all required CI owners in one run and revision.	Provides one unambiguous remote readiness result without rerunning provider suites.	Every required CI owner passed and the final proof matches the current run and full HEAD.	At least one required owner failed, was skipped, or produced mismatched proof.	Final CI proof has not been recorded yet.	Final CI proof belongs to another run, revision, graph, or policy.	product.next.inspect_ci	critical	true	44
product.gates.evidence_contract	required	all	local_tests	#workflow	product.evidence.gate_evidence_contract	product.gates.evidence_contract.detail	all	Atomic schema v2.2 receipts, complete clean exact-HEAD batches, bounded active admission and semantic retention, non-authoritative inactive history, integrity, policy-owned membership, parent-compatible projection, freshness, and manual-result authority.	Prevents old, missing, mixed-batch, partial, cached, dirty, tampered, self-asserted, mismatched, concurrently lost, capacity-deadlocked, or improperly archived results from being shown as current PASS evidence.	Evidence contracts are current and passed.	Evidence authority, batch completeness, active retention, inactive archival, projection compatibility, integrity, freshness, redaction, migration, capacity, or concurrency checks failed.	Evidence contract checks have not been run yet.	Evidence contract checks no longer match the current revision, inputs, policy, task graph, or release batch.	product.next.inspect_local_tests	critical	false	45
product.security.secrets	required	all	security	#safety	product.evidence.security_secrets	product.security.secrets.detail	all	Secret-bearing files, credentials, and unsafe disclosure risks.	Shows whether work can proceed without exposing secrets or credentials.	Security evidence is current and passed.	Security evidence found a blocker.	Security evidence has not been recorded yet.	Security evidence is older than the configured freshness window or product HEAD.	product.next.inspect_security	critical	true	50
product.security.local_first	optional	all	security	#safety	product.evidence.security_local_first	product.security.local_first.detail	all	Local-first operation and artifact handling policy.	Shows whether the product avoids external upload behavior by default.	Local-first evidence is current and passed.	Local-first evidence found a blocker.	Local-first evidence has not been recorded yet.	Local-first evidence is older than the configured freshness window or product HEAD.	product.next.inspect_security	high	false	51
product.security.browser_profile	optional	all	security	#safety	product.evidence.security_browser_profile	product.security.browser_profile.detail	all	Browser profile isolation and profile reuse boundaries.	Shows whether implementation avoids existing browser profile reuse by default.	Browser profile evidence is current and passed.	Browser profile evidence found a blocker.	Browser profile evidence has not been recorded yet.	Browser profile evidence is older than the configured freshness window or product HEAD.	product.next.inspect_security	high	true	52
product.security.local_artifacts	required	all	security	#safety	product.evidence.security_local_artifacts	product.security.local_artifacts.detail	all	Local generated artifacts, ignored outputs, and non-source files.	Shows whether local-only files are safely kept out of committed product source.	Local artifact evidence is current and passed.	Local artifact evidence found a blocker.	Local artifact evidence has not been recorded yet.	Local artifact evidence is older than the configured freshness window or product HEAD.	product.next.inspect_security	high	false	60
product.security.external_sending	contextual	all	security	#safety	product.evidence.security_external_sending	product.security.external_sending.detail	all	External sending, OAuth, webhook, and integration data boundaries.	Shows whether external communication is approved and safely scoped.	External sending evidence is current and passed.	External sending evidence found a blocker or missing approval.	External sending evidence has not been recorded yet.	External sending evidence is older than the configured freshness window or product HEAD.	product.next.inspect_external_sending	critical	true	70
product.security.blockers	required	all	security	#safety	product.evidence.security_blockers	product.security.blockers.detail	all	Current security blockers that stop product operations.	Shows what safety condition is actively stopping the workflow.	Security blocker evidence is current and clear.	Security blocker evidence found an active blocker.	Security blocker evidence has not been recorded yet.	Security blocker evidence is older than the configured freshness window or product HEAD.	product.next.inspect_security_blockers	critical	true	80
